CustomerID,Name,Age,Gender,City,JoinDate,Salary,PurchaseAmount
1,Kavya Nair,43.0,MALE,Delhi,07/31/2022,21155.99,919.05
2,Arjun Patel,57.0,MALE,delhi,03/09/2023,47170.39,1205.19
3,Aarav Singh,24.0,Female,Bangalore,2024-04-04,70904.28,882.69
4,Aditya Patel,27.0,MALE,bangalore,12-02-2024,39942.2,428.74
5,Ananya Reddy,26.0,Female,Mumbai,2022-09-15,54261.24,2853.45
6,Meera Singh,28.0,male,Delhi,25/03/2023,38001.11,9504.1
7,Aarav Gupta,54.0,Female,mumbai,08/03/2023,33324.04,
8,Vivaan Das,55.0,male,mumbai,06/14/2024,81315.56,1646.49
9,Rahul Iyer,39.0,FEMALE,Delhi,23-07-2022,85618.69,1736.79
10,Rohan Reddy,64.0,MALE,delhi,2022-11-06,37645.78,163.78
11,Ananya Sharma,22.0,Female,Hyderabad,20-04-2023,52017.46,3229.67
12,Meera Reddy,47.0,female,Hyderabad,21-07-2023,34597.27,4811.78
13,Vihaan Singh,35.0,M,Bangalore,2022-04-11,74845.79,1845.01
14,Kabir Patel,52.0,Female, Pune,2023-09-15,56071.89,3371.04
15,Kabir Verma,23,FEMALE,mumbai,2023-03-15,51528.6,4780.12
16,Rohan Singh,39.0,female,Pune,28-11-2022,22995.77,1921.98
17,Tara Patel,30.0,female,delhi,13/12/2023,48123.33,2650.9
18,Ishaan Reddy,31.0,Male,Bangalore,12/29/2023,77360.17,426.33
19,Neha Nair,45.0,MALE,Pune,2022-02-12,80680.98,11083.45
20,Tara Verma,49,MALE,Mumbai,15/07/2023,57823.19,2929.9
21,Vivaan Gupta,37.0,FEMALE,MUMBAI,31/07/2023,63777.27,4948.21
22,Neha Singh,51.0,female,Pune,05-03-2023,37350.39,4948.76
23,Sara Singh,33,Male,MUMBAI,2022-08-20,55035.63,
24,Aditya Sharma,61.0,F,Bangalore,25/05/2022,56000.42,1066.66
25,Aarav Patel,54,F,mumbai,09-04-2024,47422.59,4413.34
26,Kavya Iyer,32.0,FEMALE,Delhi,16/04/2022,50038.49,1795.56
27,Meera Verma,60.0,Male,mumbai,11/28/2022,35596.27,600.49
28,Arjun Sharma,44.0,Male,mumbai,2023-06-05,22016.33,693.1
29,Kavya Khan,52.0,female,delhi,02/14/2022,45547.52,8468.65
30,Rahul Das,40.0,M,Bangalore,05/21/2024,66772.01,2716.21
31,Kabir Sharma,60.0,MALE,delhi,27-08-2022,72616.04,3734.89
32,Nikhil Gupta,58,F,Pune,03/05/2023,33290.78,121.31
33,Kabir Iyer,55.0,MALE,mumbai,25/03/2024,44470.24,848.66
34,Kabir Nair,18.0,female,mumbai,18-06-2023,37921.51,3252.76
35,Tara Nair,26.0,F,Chennai,04/01/2024,68672.15,472.35
36,Rahul Reddy,35.0,male,Hyderabad,06/03/2024,42642.43,2973.46
37,Priya Singh,18.0,Male,Hyderabad,26/09/2022,29840.29,949.91
38,Tara Verma,55.0,F,bangalore,12/05/2023,70265.95,176.87
39,Tara Iyer,38.0,M,Hyderabad,02-02-2024,71899.33,2735.86
40,Zara Iyer,40.0,female,Delhi,29/01/2022,57647.19,1390.28
41,Zara Khan,27.0,male,Pune,2022-10-20,43554.98,595.05
42,Kavya Reddy,55.0,M,bangalore,18-11-2023,87159.42,523.18
43,Rahul Gupta,64.0,FEMALE,Bangalore,12/30/2023,67656.12,1046.85
44,Aditya Iyer,28.0,female,Delhi,2023-06-01,52465.05,6406.45
45,Nikhil Iyer,57.0,Male, Pune,14/03/2022,37485.55,210.99
46,Nikhil Verma,60,MALE,MUMBAI,12-04-2024,66091.64,16.97
47,Priya Sharma,18.0,M,Delhi,30-04-2022,55309.05,1710.46
48,Simran Patel,29.0,F,bangalore,14/04/2024,63881.3,2109.92
49,Sara Patel,56.0,M,mumbai,05/25/2022,84313.1,1644.55
50,Ananya Sharma,41.0,MALE,delhi,2022-02-01,38555.01,2228.92
51,Aarav Singh,61.0,M,Bangalore,29/11/2022,52733.34,1786.65
52,Kabir Patel,55.0,male,delhi,18-02-2023,82618.66,7357.43
53,Aditya Reddy,51.0,MALE,Chennai,2023-09-17,81286.69,3981.1
54,Priya Iyer,32.0,MALE,MUMBAI,2022-10-15,56126.37,2520.94
55,Rohan Singh,36.0,,Chennai,2023-11-27,48155.48,988.3
56,Aarav Verma,42,FEMALE, Pune,15-03-2024,12000.0,1323.26
57,Tara Verma,38,,Chennai,11/18/2023,51694.91,15.25
58,Arjun Das,64.0,F,Chennai,20/05/2024,41412.2,3737.98
59,Aditya Iyer,36.0,Female,Bangalore,2023-06-14,44342.92,3737.79
60,Ananya Gupta,57.0,MALE,Mumbai,2023-05-06,85068.06,1053.67
61,Diya Sharma,50,MALE,mumbai,12/19/2022,65346.09,3234.6
62,Diya Patel,48.0,M,Chennai,08-07-2023,56292.22,2446.38
63,Aditya Gupta,62.0,female, Pune,13/05/2023,51053.26,1159.93
64,Kavya Gupta,,Male,Delhi,01/08/2023,62176.6,1405.97
65,Simran Singh,22,F,delhi,01/01/2022,54924.83,2892.35
66,Tara Nair,28.0,Male,Chennai,2022-10-23,,2267.59
67,Simran Singh,34.0,MALE,Chennai,2022-11-30,33838.99,7365.02
68,Aarav Gupta,53,Female, Pune,01/04/2024,70864.85,6062.42
69,Arjun Patel,28.0,Female,Mumbai,27/03/2022,51397.22,231.25
70,Sara Singh,41.0,FEMALE,MUMBAI,2024-04-24,40857.2,
71,Meera Gupta,25.0,Female,MUMBAI,08/07/2022,55755.27,8265.53
72,Simran Gupta,53.0,FEMALE,Hyderabad,09/18/2022,42164.02,2628.16
73,Aditya Patel,39.0,Female,Mumbai,11/01/2022,53376.71,348.58
74,Diya Verma,27.0,F,MUMBAI,04/21/2024,60652.51,6988.75
75,Vivaan Iyer,35.0,F,bangalore,13-05-2024,34954.49,564.3
76,Nikhil Gupta,57.0,female,delhi,05-05-2022,58276.16,4102.54
77,Arjun Verma,57.0,Female,Mumbai,18/04/2023,95612.03,3315.7
78,Aarav Das,30.0,F,Bangalore,24-02-2024,,18408.03
79,Rahul Reddy,,FEMALE,Bangalore,07/05/2023,86025.68,15095.19
80,Ishaan Singh,32.0,Female,Delhi,2024-01-24,,-1515.29
81,Priya Patel,19.0,MALE,MUMBAI,08/31/2022,320472.88,7253.11
82,Ishaan Nair,57.0,F,mumbai,2022-08-07,27452.82,1432.18
83,Zara Singh,29.0,male,Bangalore,2022-11-07,,1495.73
84,Rahul Sharma,19.0,female, Pune,2022-07-22,41747.51,1450.78
85,Meera Verma,33,F,Pune,2023-05-21,49176.1,2271.6
86,Rohan Gupta,49.0,M,Hyderabad,27/02/2023,54452.63,2899.93
87,Aarav Singh,18.0,Female,Delhi,2022-09-08,49400.09,
88,Kabir Iyer,31.0,F,bangalore,2022-01-29,45638.49,1715.29
89,Kavya Nair,35.0,FEMALE,bangalore,12/05/2022,59040.12,1328.86
90,Meera Iyer,,Male,Mumbai,10/02/2023,40227.94,4438.35
91,Zara Patel,27.0,male,delhi,01/17/2022,53712.47,2030.55
92,Simran Gupta,31.0,M,Mumbai,15-01-2024,61926.97,2998.03
93,Aarav Gupta,61.0,male,MUMBAI,03/16/2023,71622.81,942.82
94,Arjun Singh,47.0,MALE, Pune,2022-06-23,40012.36,1481.34
95,Rohan Patel,32.0,male,Delhi,02-12-2022,40762.71,5244.72
96,Vihaan Verma,47.0,FEMALE,Hyderabad,09/12/2022,32845.28,11490.21
97,Neha Singh,54.0,female,Mumbai,06-01-2024,,2124.83
98,Aditya Sharma,23.0,Male,Delhi,16-04-2024,44156.7,381.93
99,Simran Patel,39.0,female,MUMBAI,08/14/2022,,1620.64
100,Meera Verma,31.0,F,Delhi,2022-04-13,41107.7,1262.15
101,Diya Reddy,26.0,FEMALE,MUMBAI,05/24/2023,41546.99,4573.51
102,Tara Khan,43.0,female,Pune,05/04/2024,40913.51,2563.14
103,Sara Das,40.0,female,bangalore,31-08-2023,52084.93,1173.9
104,Nikhil Gupta,20.0,,delhi,02/01/2023,60273.66,147.73
105,Priya Singh,38.0,female,delhi,26-04-2024,21383.62,5383.46
106,Zara Patel,32.0,Male,bangalore,31-10-2023,61084.92,617.45
107,Diya Singh,60.0,Female,,28-11-2022,94435.35,502.48
108,Neha Patel,20.0,Female,Bangalore,2022-03-12,77135.29,3856.28
109,Simran Singh,42.0,Female,Bangalore,2022-03-27,71798.39,6513.66
110,Simran Das,39.0,Female,delhi,01/21/2024,,4337.48
111,Rohan Khan,56.0,F, Pune,24/04/2023,33735.96,835.81
112,Rahul Sharma,33.0,female, Pune,03/09/2024,74446.49,341.7
113,Rohan Reddy,34,male,Mumbai,15-10-2023,35872.46,1044.94
114,Zara Gupta,43.0,M,,12/16/2023,42581.75,3929.15
115,Priya Singh,40.0,MALE,Delhi,25/07/2022,85652.02,2812.18
116,Kabir Nair,48.0,FEMALE,delhi,2022-08-21,45769.06,1583.69
117,Ananya Gupta,23.0,FEMALE,mumbai,17/05/2022,76600.39,
118,Tara Sharma,56.0,F,mumbai,09/06/2023,89162.26,8205.51
119,Tara Verma,39.0,Female,Pune,09/08/2022,38298.52,767.86
120,Sara Khan,63.0,,Delhi,28/12/2023,74420.19,164.18
121,Aarav Khan,34.0,Male,,31/01/2022,46839.17,1711.7
122,Sara Gupta,38.0,Female,Hyderabad,06/04/2024,64936.43,6159.69
123,Priya Das,43.0,male,MUMBAI,26-09-2023,76351.15,763.59
124,Priya Gupta,51,FEMALE,delhi,2023-08-05,59546.71,3563.59
125,Priya Nair,51.0,MALE,Bangalore,18/04/2023,67717.96,1843.64
126,Kabir Singh,24.0,FEMALE,Bangalore,22/02/2022,44079.73,903.95
127,Nikhil Gupta,19.0,FEMALE,mumbai,21/05/2023,60598.19,958.22
128,Ananya Sharma,58.0,female,Mumbai,2022-11-24,56316.58,2953.77
129,Tara Iyer,27.0,female,Pune,05/10/2023,12000.0,2723.89
130,Priya Patel,20.0,Male,Hyderabad,28-03-2024,57968.81,3349.08
131,Sara Das,25.0,FEMALE,Delhi,07-05-2022,,7727.62
132,Neha Iyer,39.0,,Delhi,21-07-2023,46060.36,3369.74
133,Ananya Das,48.0,Male,bangalore,19-05-2023,,567.95
134,Sara Nair,34.0,M,Bangalore,06/25/2022,46254.02,726.3
135,Nikhil Iyer,19.0,MALE, Pune,07/28/2023,57071.66,1073.96
136,Nikhil Sharma,47.0,M,mumbai,2023-05-14,19803.39,1540.49
137,Sara Patel,35.0,Male,Bangalore,2022-06-16,30339.07,1989.25
138,Ishaan Reddy,58.0,M, Pune,19-09-2022,78822.83,1429.06
139,Kavya Khan,51.0,MALE,delhi,2023-01-23,35886.01,875.27
140,Diya Singh,56.0,F,bangalore,02/04/2024,104385.58,6991.79
141,Nikhil Patel,47.0,M,Delhi,31-08-2022,73524.76,1642.58
142,Sara Khan,34.0,Male,MUMBAI,2023-04-10,,3842.53
143,Rahul Nair,55.0,male,Delhi,2023-12-28,83955.38,996.98
144,Diya Reddy,45,female,Pune,06/27/2022,54060.69,2436.8
145,Rahul Nair,,female,Bangalore,15/12/2022,59173.43,2989.42
146,Rahul Reddy,50.0,Male,Bangalore,29/04/2023,71670.57,5151.41
147,Kavya Patel,52.0,MALE, Pune,29-12-2023,65313.29,747.29
148,Aarav Verma,50.0,male,bangalore,09/04/2024,702003.36,718.67
149,Diya Patel,46.0,Female,Delhi,15-03-2022,54934.47,2493.8
150,Arjun Patel,60.0,Female,MUMBAI,2022-06-09,,961.74
151,Neha Singh,44.0,MALE,Mumbai,03/14/2023,57598.57,1912.21
152,Nikhil Verma,47.0,F,Bangalore,17-03-2022,53293.83,1096.2
153,Kabir Gupta,27.0,Male, Pune,13-08-2023,30403.23,477.42
154,Rahul Sharma,36.0,male,delhi,28/01/2022,58703.58,1081.41
155,Aditya Singh,59.0,Male,mumbai,23-03-2024,29985.77,248.52
156,Tara Reddy,51.0,M, Pune,18-09-2023,,698.42
157,Priya Khan,35.0,Male,Delhi,2022-07-13,62465.65,-5200.1
158,Arjun Gupta,46,F,Mumbai,02/19/2024,50706.19,6761.63
159,Ishaan Patel,59.0,M,Delhi,25-08-2023,79033.48,3076.43
160,Rahul Iyer,42.0,male,Delhi,21-05-2023,14525.68,2741.68
161,Rohan Sharma,55.0,M,bangalore,03/30/2024,54657.88,2652.86
162,Tara Singh,23.0,Female,bangalore,25/01/2023,43477.52,9401.85
163,Vihaan Das,28.0,Female,bangalore,2023-04-01,38087.02,3161.06
164,Vihaan Sharma,48,M,MUMBAI,11-10-2023,,
165,Ananya Gupta,46.0,M,mumbai,2023-11-21,87853.61,7721.62
166,Simran Sharma,52.0,FEMALE, Pune,26-12-2022,68968.61,
167,Arjun Nair,25.0,male,Hyderabad,2024-06-12,47985.16,4091.34
168,Rahul Singh,20.0,Female,Mumbai,02-04-2024,23517.19,4711.82
169,Nikhil Khan,18.0,Male,MUMBAI,2022-05-25,61727.5,7995.55
170,Simran Gupta,25.0,MALE,,04/22/2023,57267.22,1621.27
171,Tara Khan,43.0,Female,bangalore,01/18/2022,61666.18,2512.33
172,Nikhil Khan,40.0,F,bangalore,03-12-2023,39955.6,3093.39
173,Priya Nair,39.0,FEMALE,Pune,2024-04-09,52623.03,6997.28
174,Nikhil Das,37,F,mumbai,11/08/2022,41637.59,924.6
175,Priya Sharma,26,Female,mumbai,13-12-2022,44447.13,3264.71
176,Aarav Gupta,33.0,MALE,MUMBAI,2023-10-08,55594.52,1047.33
177,Sara Nair,48.0,F, Pune,31/05/2023,47369.12,1622.76
178,Tara Nair,47.0,Male,bangalore,21-05-2023,45909.35,907.31
179,Vivaan Patel,19.0,Female,Bangalore,2023-05-24,35397.06,7295.6
180,Kabir Das,22.0,Male,MUMBAI,2023-06-15,24384.26,4469.26
181,Meera Verma,20.0,MALE,Delhi,2022-04-06,41744.35,6401.08
182,Kabir Singh,61.0,Female, Pune,21/04/2024,44439.95,8351.3
183,Sara Khan,26,female, Pune,08/30/2023,36089.56,7120.63
184,Tara Khan,46.0,Female,Hyderabad,22/05/2023,56405.21,472.75
185,Rohan Iyer,36.0,F,bangalore,2022-05-17,65029.18,684.18
186,Sara Sharma,63.0,,bangalore,28-10-2023,,6081.63
187,Kabir Sharma,26.0,F,delhi,10-10-2023,68530.01,696.74
188,Rohan Nair,33.0,male,delhi,2023-03-07,82810.68,5401.86
189,Vihaan Verma,36.0,Male,Bangalore,19/07/2022,54589.46,824.5
190,Zara Reddy,25.0,F,MUMBAI,04-05-2024,35356.98,7096.06
191,Rahul Nair,57.0,Female,Delhi,08/20/2022,40989.76,722.12
192,Meera Iyer,33.0,Male,Mumbai,2023-09-10,76407.75,5637.86
193,Meera Patel,50.0,M,mumbai,29/03/2023,72087.43,1464.18
194,Aarav Gupta,50.0,MALE, Pune,10-11-2023,63350.64,1718.34
195,Sara Verma,45.0,F,Hyderabad,01/05/2023,53608.64,1254.83
196,Tara Singh,34.0,F,Mumbai,18/03/2022,32387.71,
197,Kabir Patel,19.0,female, Pune,2022-11-30,64348.23,4914.58
198,Rahul Verma,28.0,Female,Chennai,13/11/2023,55644.42,7282.26
199,Rohan Nair,42.0,F,MUMBAI,01/26/2024,42209.44,1818.38
200,Ananya Khan,18.0,Male,bangalore,06/08/2024,68293.99,253.59
201,Priya Reddy,45.0,male,Pune,11/05/2022,51474.81,13458.97
202,Nikhil Patel,51.0,Female,bangalore,08/03/2023,44002.37,3686.3
203,Nikhil Gupta,24,M,MUMBAI,22-10-2022,18543.88,203.76
204,Meera Das,52.0,Male,Hyderabad,09/19/2023,33042.14,874.48
205,Tara Verma,28.0,,Bangalore,2023-02-14,51045.59,2285.71
206,Rohan Nair,40.0,female,Pune,2022-03-23,12000.0,5017.75
207,Priya Patel,59.0,female,Chennai,28-10-2022,56992.72,4452.33
208,Aditya Iyer,22,FEMALE,Hyderabad,10/09/2022,35312.94,977.87
209,Arjun Gupta,56.0,Female,MUMBAI,2024-01-26,48229.43,470.1
210,Kavya Khan,35.0,Female,Mumbai,05/29/2024,41154.6,11396.75
211,Arjun Das,47.0,Female,bangalore,03/15/2023,50390.81,13906.58
212,Vihaan Das,50.0,Female,delhi,2022-10-07,63548.05,13179.63
213,Vihaan Reddy,25.0,Female,Mumbai,12/17/2023,57599.9,249.97
214,Arjun Nair,37.0,Male,Delhi,24-04-2024,57465.05,5491.86
215,Rohan Singh,56,FEMALE,MUMBAI,2023-02-02,517357.92,3512.22
216,Vihaan Patel,39.0,Male,Pune,08-06-2022,77156.67,1573.64
217,Diya Singh,38.0,MALE,Bangalore,01-02-2022,74078.1,
218,Vihaan Nair,56.0,MALE,Hyderabad,05/03/2022,45363.44,280.93
219,Meera Singh,,female, Pune,24/03/2022,28138.89,1333.13
220,Arjun Nair,59.0,F, Pune,29-01-2022,56121.79,3289.79
221,Diya Verma,49.0,male,MUMBAI,18/06/2024,28244.15,2306.24
222,Ananya Patel,39.0,MALE,Delhi,05-04-2024,45655.73,4631.2
223,Nikhil Nair,35.0,Female,bangalore,2023-09-18,55349.45,3586.35
224,Nikhil Patel,42.0,,Pune,04/07/2022,41743.71,8392.9
225,Sara Khan,29.0,, Pune,05-01-2023,43831.82,5438.68
226,Kabir Verma,37.0,F,mumbai,02/10/2022,53948.79,2116.64
227,Vihaan Iyer,34.0,F, Pune,27/01/2024,37945.73,8358.77
228,Rohan Sharma,43.0,F,Hyderabad,03/09/2023,54434.1,5665.73
229,Meera Reddy,45.0,MALE,Pune,01/10/2022,67300.15,5108.54
230,Arjun Singh,45.0,Female,MUMBAI,2022-07-09,78873.93,793.85
231,Aarav Iyer,50.0,FEMALE, Pune,01/25/2024,76389.34,2060.36
232,Neha Reddy,29.0,M,Mumbai,12-05-2024,63395.9,2854.12
233,Aarav Reddy,51.0,female,bangalore,01/18/2023,35718.1,2819.77
234,Arjun Iyer,48.0,Male,Chennai,04/28/2022,,517.81
235,Aarav Verma,46.0,Female,Hyderabad,2023-10-09,355027.52,2516.82
236,Rahul Singh,30.0,Male,bangalore,02/10/2023,70511.22,473.76
237,Ananya Khan,49.0,Male,bangalore,31/07/2023,72287.11,3219.04
238,Sara Verma,30.0,F,mumbai,05/01/2022,73322.01,10392.44
239,Ishaan Sharma,42.0,F,Hyderabad,18/06/2024,49240.77,2814.99
240,Meera Singh,28.0,male,mumbai,2022-09-30,31217.84,1802.43
241,Meera Sharma,40.0,F,mumbai,2024-06-16,70617.88,6880.27
242,Nikhil Reddy,30.0,FEMALE, Pune,03/18/2024,63747.41,6375.43
